Run,Dataset,Classifier,Classifier_accuracy,Classifier_time,DESFH_accuracy,DESFH_time,EnsemblePruneFH_accuracy,EnsemblePruneFH_time,Number_of_hyperboxes,Ensemble_members_removed,n_estimators,overlap_threshold,threshold_remove
6,pima,AdaBoostClassifier,0.79167,0.01505,0.70312,0.4407,0.70312,0.08654,144,0,10,0.1,0.05
7,pima,BaggingClassifier,0.77604,0.02044,0.77604,0.26843,0.77604,0.09562,162,0,10,0.1,0.05
7,pima,RandomForestClassifier,0.72396,0.01437,0.72396,0.21847,0.72396,0.08778,155,0,10,0.1,0.05
7,pima,AdaBoostClassifier,0.75521,0.01606,0.73958,0.39167,0.73958,0.09674,166,0,10,0.1,0.05
8,pima,BaggingClassifier,0.83333,0.02145,0.83333,0.28048,0.83333,0.08005,141,0,10,0.1,0.05
8,pima,RandomForestClassifier,0.76042,0.01537,0.76042,0.26464,0.76042,0.09989,157,0,10,0.1,0.05
8,pima,AdaBoostClassifier,0.76042,0.01471,0.74479,0.42102,0.74479,0.09223,165,0,10,0.1,0.05
9,pima,BaggingClassifier,0.75,0.01844,0.75,0.25473,0.75,0.04729,92,0,10,0.1,0.05
9,pima,RandomForestClassifier,0.72396,0.01385,0.72396,0.19504,0.72396,0.04448,92,1,10,0.1,0.05
9,pima,AdaBoostClassifier,0.6875,0.013,0.6875,0.32862,0.6875,0.05065,90,0,10,0.1,0.05
10,pima,BaggingClassifier,0.72396,0.02003,0.72396,0.26029,0.72396,0.04972,99,0,10,0.1,0.05
10,pima,RandomForestClassifier,0.70833,0.01755,0.70833,0.20137,0.70833,0.05557,102,0,10,0.1,0.05
10,pima,AdaBoostClassifier,0.69271,0.01559,0.71875,0.39297,0.69271,0.06654,114,1,10,0.1,0.05
1,pima,BaggingClassifier,0.68229,0.02013,0.68229,0.20939,0.68229,0.07685,137,0,10,0.1,0.1
1,pima,RandomForestClassifier,0.75521,0.01406,0.75521,0.25623,0.75521,0.09192,147,0,10,0.1,0.1
1,pima,AdaBoostClassifier,0.75521,0.01504,0.75,0.45384,0.75,0.08312,151,0,10,0.1,0.1
2,pima,BaggingClassifier,0.69792,0.02013,0.69792,0.24056,0.69792,0.06494,117,0,10,0.1,0.1
2,pima,RandomForestClassifier,0.70833,0.01506,0.70833,0.25932,0.70833,0.07103,107,0,10,0.1,0.1
2,pima,AdaBoostClassifier,0.68229,0.01464,0.67708,0.4556,0.67708,0.06896,135,0,10,0.1,0.1
3,pima,BaggingClassifier,0.73438,0.02008,0.73438,0.20393,0.73438,0.06132,110,0,10,0.1,0.1
3,pima,RandomForestClassifier,0.73958,0.01503,0.73958,0.24843,0.73958,0.07194,124,0,10,0.1,0.1
3,pima,AdaBoostClassifier,0.76562,0.01347,0.77083,0.45381,0.77083,0.0657,136,0,10,0.1,0.1
4,pima,BaggingClassifier,0.73438,0.02013,0.73438,0.20238,0.73438,0.06183,110,0,10,0.1,0.1
4,pima,RandomForestClassifier,0.74479,0.01724,0.74479,0.22069,0.74479,0.05617,109,0,10,0.1,0.1
4,pima,AdaBoostClassifier,0.74479,0.01475,0.70833,0.47508,0.70833,0.05756,118,0,10,0.1,0.1
5,pima,BaggingClassifier,0.73438,0.02013,0.73438,0.18834,0.73438,0.08087,141,0,10,0.1,0.1
5,pima,RandomForestClassifier,0.72917,0.01322,0.72917,0.20516,0.72917,0.09296,155,0,10,0.1,0.1
5,pima,AdaBoostClassifier,0.72396,0.01353,0.74479,0.3884,0.74479,0.09907,149,0,10,0.1,0.1
6,pima,BaggingClassifier,0.79167,0.02113,0.79167,0.20839,0.79167,0.07485,121,0,10,0.1,0.1
6,pima,RandomForestClassifier,0.76562,0.0148,0.76562,0.24696,0.76562,0.08438,135,0,10,0.1,0.1
6,pima,AdaBoostClassifier,0.79167,0.0261,0.70312,0.4628,0.70312,0.06187,144,0,10,0.1,0.1
7,pima,BaggingClassifier,0.77604,0.02114,0.77604,0.22397,0.77604,0.09833,162,0,10,0.1,0.1
7,pima,RandomForestClassifier,0.72396,0.01439,0.72396,0.23452,0.72396,0.09775,155,0,10,0.1,0.1
7,pima,AdaBoostClassifier,0.75521,0.01504,0.73958,0.41513,0.73958,0.0778,166,0,10,0.1,0.1
8,pima,BaggingClassifier,0.83333,0.02063,0.83333,0.22847,0.83333,0.0883,141,0,10,0.1,0.1
8,pima,RandomForestClassifier,0.76042,0.01287,0.76042,0.29944,0.76042,0.13808,157,0,10,0.1,0.1
8,pima,AdaBoostClassifier,0.76042,0.01502,0.74479,0.38884,0.74479,0.06557,165,0,10,0.1,0.1
9,pima,BaggingClassifier,0.75,0.01963,0.75,0.23504,0.75,0.04889,92,0,10,0.1,0.1
9,pima,RandomForestClassifier,0.72396,0.01629,0.72396,0.20138,0.72396,0.06397,92,1,10,0.1,0.1
9,pima,AdaBoostClassifier,0.6875,0.01497,0.6875,0.34072,0.6875,0.05117,90,0,10,0.1,0.1
10,pima,BaggingClassifier,0.72396,0.02014,0.72396,0.18883,0.72396,0.05628,99,0,10,0.1,0.1
10,pima,RandomForestClassifier,0.70833,0.01504,0.70833,0.19929,0.70833,0.06016,102,0,10,0.1,0.1
10,pima,AdaBoostClassifier,0.69271,0.01503,0.71875,0.41572,0.69271,0.07711,114,1,10,0.1,0.1
1,pima,BaggingClassifier,0.71354,0.10045,0.71354,1.09633,0.71875,0.40103,684,12,50,0.01,0.01
1,pima,RandomForestClassifier,0.73438,0.08006,0.73438,1.27229,0.72917,0.43014,717,6,50,0.01,0.01
1,pima,AdaBoostClassifier,0.78125,0.07487,0.69792,2.63716,0.6875,0.49426,823,35,50,0.01,0.01
2,pima,BaggingClassifier,0.74479,0.10161,0.74479,1.2714,0.73438,0.34193,581,35,50,0.01,0.01
2,pima,RandomForestClassifier,0.71875,0.07305,0.71875,1.27515,0.72396,0.31111,559,35,50,0.01,0.01
2,pima,AdaBoostClassifier,0.72396,0.07474,0.60417,2.87374,0.35417,0.32585,670,34,50,0.01,0.01
3,pima,BaggingClassifier,0.75521,0.09729,0.75521,1.08675,0.73438,0.36848,607,22,50,0.01,0.01
3,pima,RandomForestClassifier,0.75,0.06792,0.75,1.1361,0.75521,0.37348,658,27,50,0.01,0.01
3,pima,AdaBoostClassifier,0.76042,0.06807,0.59896,2.7004,0.72396,0.49699,740,39,50,0.01,0.01
4,pima,BaggingClassifier,0.74479,0.10388,0.74479,1.08664,0.73438,0.31781,546,27,50,0.01,0.01
4,pima,RandomForestClassifier,0.75521,0.07018,0.75521,1.16648,0.74479,0.30457,536,32,50,0.01,0.01
4,pima,AdaBoostClassifier,0.77083,0.06912,0.70833,2.64221,0.66146,0.44449,584,36,50,0.01,0.01
5,pima,BaggingClassifier,0.73438,0.10037,0.73438,1.0176,0.73958,0.43899,712,19,50,0.01,0.01
5,pima,RandomForestClassifier,0.76042,0.07242,0.76042,1.12353,0.76562,0.428,747,15,50,0.01,0.01
5,pima,AdaBoostClassifier,0.68229,0.07213,0.70833,2.56329,0.71354,0.58461,788,21,50,0.01,0.01
6,pima,BaggingClassifier,0.8125,0.10582,0.8125,1.15214,0.77083,0.40812,621,22,50,0.01,0.01
6,pima,RandomForestClassifier,0.77083,0.08069,0.77083,1.18108,0.77604,0.38152,624,20,50,0.01,0.01
6,pima,AdaBoostClassifier,0.78646,0.07255,0.71875,2.70034,0.66667,0.48507,792,38,50,0.01,0.01
7,pima,BaggingClassifier,0.77083,0.10338,0.77083,1.02437,0.75,0.47131,762,10,50,0.01,0.01
7,pima,RandomForestClassifier,0.74479,0.07606,0.74479,1.17185,0.75,0.4518,761,16,50,0.01,0.01
7,pima,AdaBoostClassifier,0.73958,0.07426,0.67708,2.66245,0.69271,0.52775,890,25,50,0.01,0.01
8,pima,BaggingClassifier,0.80729,0.10323,0.80729,1.24916,0.79688,0.4811,753,13,50,0.01,0.01
8,pima,RandomForestClassifier,0.78125,0.06663,0.78125,1.21727,0.79167,0.48228,776,17,50,0.01,0.01
8,pima,AdaBoostClassifier,0.77604,0.0752,0.63021,2.70112,0.65625,0.37798,871,22,50,0.01,0.01
9,pima,BaggingClassifier,0.74479,0.10322,0.74479,1.04651,0.75521,0.24579,465,35,50,0.01,0.01
9,pima,RandomForestClassifier,0.74479,0.07488,0.74479,1.05824,0.77083,0.21549,436,30,50,0.01,0.01
9,pima,AdaBoostClassifier,0.67708,0.07848,0.70312,2.51122,0.73438,0.3052,489,39,50,0.01,0.01
10,pima,BaggingClassifier,0.72917,0.09927,0.72917,0.9846,0.73438,0.2933,510,6,50,0.01,0.01
10,pima,RandomForestClassifier,0.72396,0.06975,0.72396,1.08504,0.72396,0.27829,516,5,50,0.01,0.01
10,pima,AdaBoostClassifier,0.69271,0.0698,0.68229,2.51313,0.55208,0.41828,632,14,50,0.01,0.01
1,pima,BaggingClassifier,0.71354,0.10052,0.71354,1.00698,0.71875,0.3695,684,12,50,0.01,0.05
1,pima,RandomForestClassifier,0.73438,0.07492,0.73438,1.38832,0.72917,0.46753,717,6,50,0.01,0.05
1,pima,AdaBoostClassifier,0.78125,0.08253,0.69792,2.82992,0.6875,0.49099,823,35,50,0.01,0.05
2,pima,BaggingClassifier,0.74479,0.10047,0.74479,1.14955,0.73438,0.31947,581,35,50,0.01,0.05
2,pima,RandomForestClassifier,0.71875,0.07333,0.71875,1.40876,0.72396,0.33598,559,35,50,0.01,0.05
2,pima,AdaBoostClassifier,0.72396,0.10393,0.60417,2.94697,0.35417,0.30344,670,34,50,0.01,0.05
3,pima,BaggingClassifier,0.75521,0.09341,0.75521,1.02006,0.73438,0.33465,607,22,50,0.01,0.05
3,pima,RandomForestClassifier,0.75,0.07201,0.75,1.22988,0.75521,0.42045,658,27,50,0.01,0.05
3,pima,AdaBoostClassifier,0.76042,0.07641,0.59896,2.90598,0.72396,0.48577,740,39,50,0.01,0.05
4,pima,BaggingClassifier,0.74479,0.10287,0.74479,1.04287,0.73438,0.27676,546,27,50,0.01,0.05
4,pima,RandomForestClassifier,0.75521,0.07622,0.75521,1.279,0.74479,0.31916,536,32,50,0.01,0.05
4,pima,AdaBoostClassifier,0.77083,0.08536,0.70833,2.8339,0.66146,0.38821,584,36,50,0.01,0.05
5,pima,BaggingClassifier,0.73438,0.09646,0.73438,0.9672,0.73958,0.40477,712,19,50,0.01,0.05
5,pima,RandomForestClassifier,0.76042,0.0699,0.76042,1.15631,0.76562,0.46496,747,15,50,0.01,0.05
5,pima,AdaBoostClassifier,0.68229,0.08016,0.70833,2.78979,0.71354,0.55322,788,21,50,0.01,0.05
6,pima,BaggingClassifier,0.8125,0.10911,0.8125,1.05723,0.77083,0.36652,621,22,50,0.01,0.05
6,pima,RandomForestClassifier,0.77083,0.07553,0.77083,1.27172,0.77604,0.44405,624,20,50,0.01,0.05
6,pima,AdaBoostClassifier,0.78646,0.0725,0.71875,2.84242,0.53646,0.5015,792,36,50,0.01,0.05
7,pima,BaggingClassifier,0.77083,0.10186,0.77083,0.96459,0.75,0.42611,762,10,50,0.01,0.05
7,pima,RandomForestClassifier,0.74479,0.07464,0.74479,1.23997,0.75,0.492,761,16,50,0.01,0.05
7,pima,AdaBoostClassifier,0.73958,0.07486,0.67708,2.75511,0.69271,0.55794,890,23,50,0.01,0.05
8,pima,BaggingClassifier,0.80729,0.09786,0.80729,1.14014,0.79688,0.51025,753,13,50,0.01,0.05
8,pima,RandomForestClassifier,0.78125,0.07372,0.78125,1.28184,0.79167,0.49917,776,17,50,0.01,0.05
8,pima,AdaBoostClassifier,0.77604,0.08075,0.63021,2.82775,0.65625,0.40589,871,22,50,0.01,0.05
9,pima,BaggingClassifier,0.74479,0.09886,0.74479,0.9822,0.75521,0.22198,465,35,50,0.01,0.05
9,pima,RandomForestClassifier,0.74479,0.07554,0.74479,1.13779,0.77083,0.24051,436,30,50,0.01,0.05
9,pima,AdaBoostClassifier,0.67708,0.07207,0.70312,2.71584,0.73438,0.35169,489,39,50,0.01,0.05
10,pima,BaggingClassifier,0.72917,0.1026,0.72917,0.92857,0.73438,0.26785,510,6,50,0.01,0.05
10,pima,RandomForestClassifier,0.72396,0.07375,0.72396,1.13909,0.72396,0.29451,516,5,50,0.01,0.05
10,pima,AdaBoostClassifier,0.69271,0.07017,0.68229,2.69575,0.55208,0.42409,632,14,50,0.01,0.05
1,pima,BaggingClassifier,0.71354,0.0996,0.71354,1.10524,0.71875,0.37293,684,1,50,0.01,0.1
1,pima,RandomForestClassifier,0.73438,0.067,0.73438,1.25951,0.73438,0.43589,717,0,50,0.01,0.1
1,pima,AdaBoostClassifier,0.78125,0.06621,0.69792,2.59128,0.6875,0.48395,823,14,50,0.01,0.1
2,pima,BaggingClassifier,0.74479,0.1006,0.74479,1.23845,0.73958,0.29652,581,19,50,0.01,0.1
2,pima,RandomForestClassifier,0.71875,0.07249,0.71875,1.27605,0.71875,0.30461,559,15,50,0.01,0.1
2,pima,AdaBoostClassifier,0.72396,0.06837,0.60417,2.76416,0.36458,0.30095,670,18,50,0.01,0.1
3,pima,BaggingClassifier,0.75521,0.09657,0.75521,1.09782,0.75,0.33591,607,8,50,0.01,0.1
3,pima,RandomForestClassifier,0.75,0.06285,0.75,1.14253,0.74479,0.36405,658,11,50,0.01,0.1
3,pima,AdaBoostClassifier,0.76042,0.07173,0.59896,2.70943,0.73438,0.49506,740,24,50,0.01,0.1
4,pima,BaggingClassifier,0.74479,0.10358,0.74479,1.10928,0.72396,0.27744,546,16,50,0.01,0.1
4,pima,RandomForestClassifier,0.75521,0.06274,0.75521,1.13894,0.73958,0.29571,536,22,50,0.01,0.1
4,pima,AdaBoostClassifier,0.77083,0.07159,0.70833,2.64744,0.73958,0.38235,584,25,50,0.01,0.1
5,pima,BaggingClassifier,0.73438,0.10308,0.73438,1.01112,0.73438,0.39878,712,3,50,0.01,0.1
5,pima,RandomForestClassifier,0.76042,0.06756,0.76042,1.04817,0.76562,0.43221,747,4,50,0.01,0.1
5,pima,AdaBoostClassifier,0.68229,0.07113,0.70833,2.57431,0.70833,0.54712,788,5,50,0.01,0.1
6,pima,BaggingClassifier,0.8125,0.10208,0.8125,1.08706,0.82292,0.35553,621,4,50,0.01,0.1
6,pima,RandomForestClassifier,0.77083,0.06671,0.77083,1.12438,0.77604,0.36405,624,2,50,0.01,0.1
6,pima,AdaBoostClassifier,0.78646,0.07273,0.71875,2.65324,0.65104,0.51745,792,22,50,0.01,0.1
7,pima,BaggingClassifier,0.77083,0.10262,0.77083,1.01481,0.77083,0.42922,762,2,50,0.01,0.1
7,pima,RandomForestClassifier,0.74479,0.06629,0.74479,1.14066,0.74479,0.45327,761,2,50,0.01,0.1
7,pima,AdaBoostClassifier,0.73958,0.06417,0.67708,2.59668,0.71875,0.56508,890,5,50,0.01,0.1
8,pima,BaggingClassifier,0.80729,0.10156,0.80729,1.17845,0.80208,0.45282,753,2,50,0.01,0.1
8,pima,RandomForestClassifier,0.78125,0.07154,0.78125,1.16791,0.78125,0.45981,776,2,50,0.01,0.1
8,pima,AdaBoostClassifier,0.77604,0.06699,0.63021,2.741,0.6875,0.39404,871,2,50,0.01,0.1
9,pima,BaggingClassifier,0.74479,0.10056,0.74479,1.09773,0.78646,0.2231,465,27,50,0.01,0.1
9,pima,RandomForestClassifier,0.74479,0.06854,0.74479,1.03183,0.77604,0.22838,436,25,50,0.01,0.1
9,pima,AdaBoostClassifier,0.67708,0.07013,0.70312,2.47005,0.53646,0.33254,489,31,50,0.01,0.1
10,pima,BaggingClassifier,0.72917,0.09754,0.72917,0.99393,0.73438,0.25243,510,5,50,0.01,0.1
10,pima,RandomForestClassifier,0.72396,0.06504,0.72396,1.0248,0.72917,0.2736,516,1,50,0.01,0.1
10,pima,AdaBoostClassifier,0.69271,0.06967,0.68229,2.45237,0.70312,0.44197,632,4,50,0.01,0.1
1,pima,BaggingClassifier,0.71354,0.09747,0.71354,1.02365,0.71354,0.34317,684,2,50,0.05,0.01
1,pima,RandomForestClassifier,0.73438,0.06842,0.73438,1.27152,0.73438,0.50319,717,0,50,0.05,0.01
1,pima,AdaBoostClassifier,0.78125,0.06928,0.69792,2.49869,0.625,0.49117,823,6,50,0.05,0.01
2,pima,BaggingClassifier,0.74479,0.09761,0.74479,1.1578,0.70833,0.3081,581,12,50,0.05,0.01
2,pima,RandomForestClassifier,0.71875,0.06925,0.71875,1.29081,0.72396,0.39576,559,13,50,0.05,0.01
2,pima,AdaBoostClassifier,0.72396,0.06793,0.60417,2.68993,0.34896,0.26973,670,19,50,0.05,0.01
3,pima,BaggingClassifier,0.75521,0.10402,0.75521,0.97948,0.75,0.31608,607,4,50,0.05,0.01
3,pima,RandomForestClassifier,0.75,0.0589,0.75,1.12148,0.73438,0.36993,658,4,50,0.05,0.01
3,pima,AdaBoostClassifier,0.76042,0.09245,0.59896,2.63677,0.73438,0.4313,740,6,50,0.05,0.01
4,pima,BaggingClassifier,0.74479,0.10402,0.74479,1.01006,0.73438,0.28651,546,12,50,0.05,0.01
4,pima,RandomForestClassifier,0.75521,0.06291,0.75521,1.16591,0.74479,0.28997,536,9,50,0.05,0.01
4,pima,AdaBoostClassifier,0.77083,0.09225,0.70833,2.65254,0.67708,0.33638,584,5,50,0.05,0.01
5,pima,BaggingClassifier,0.73438,0.09509,0.73438,0.96536,0.73438,0.39053,712,2,50,0.05,0.01
5,pima,RandomForestClassifier,0.76042,0.06348,0.76042,1.09196,0.76042,0.50639,747,0,50,0.05,0.01
5,pima,AdaBoostClassifier,0.68229,0.07788,0.70833,2.45117,0.71875,0.50974,788,2,50,0.05,0.01
6,pima,BaggingClassifier,0.8125,0.1015,0.8125,1.07417,0.8125,0.33482,621,1,50,0.05,0.01
6,pima,RandomForestClassifier,0.77083,0.07463,0.77083,1.10933,0.75521,0.45451,624,4,50,0.05,0.01
6,pima,AdaBoostClassifier,0.78646,0.0676,0.71875,2.56529,0.71354,0.50123,792,10,50,0.05,0.01
7,pima,BaggingClassifier,0.77083,0.101,0.77083,0.9469,0.77083,0.40804,762,0,50,0.05,0.01
7,pima,RandomForestClassifier,0.74479,0.06684,0.74479,1.0916,0.74479,0.52039,761,0,50,0.05,0.01
7,pima,AdaBoostClassifier,0.73958,0.06795,0.67708,2.44336,0.71354,0.58703,890,2,50,0.05,0.01
8,pima,BaggingClassifier,0.80729,0.09999,0.80729,1.12821,0.80729,0.4255,753,1,50,0.05,0.01
8,pima,RandomForestClassifier,0.78125,0.0619,0.78125,1.16172,0.78646,0.54764,776,1,50,0.05,0.01
8,pima,AdaBoostClassifier,0.77604,0.06994,0.63021,2.523,0.65104,0.40329,871,1,50,0.05,0.01
9,pima,BaggingClassifier,0.74479,0.09595,0.74479,1.00557,0.75,0.22392,465,8,50,0.05,0.01
9,pima,RandomForestClassifier,0.74479,0.06813,0.74479,1.02131,0.75521,0.22668,436,10,50,0.05,0.01
9,pima,AdaBoostClassifier,0.67708,0.07211,0.70312,2.53653,0.54167,0.31706,489,15,50,0.05,0.01
10,pima,BaggingClassifier,0.72917,0.09595,0.72917,0.92066,0.72396,0.24696,510,1,50,0.05,0.01
10,pima,RandomForestClassifier,0.72396,0.06379,0.72396,1.02206,0.72396,0.27252,516,0,50,0.05,0.01
10,pima,AdaBoostClassifier,0.69271,0.0664,0.68229,2.44712,0.70833,0.4096,632,2,50,0.05,0.01
1,pima,BaggingClassifier,0.71354,0.09695,0.71354,1.03672,0.71354,0.36317,684,2,50,0.05,0.05
1,pima,RandomForestClassifier,0.73438,0.07761,0.73438,1.31232,0.73438,0.41262,717,0,50,0.05,0.05
1,pima,AdaBoostClassifier,0.78125,0.07226,0.69792,2.55011,0.625,0.51462,823,6,50,0.05,0.05
2,pima,BaggingClassifier,0.74479,0.09494,0.74479,1.21283,0.70833,0.31803,581,12,50,0.05,0.05
2,pima,RandomForestClassifier,0.71875,0.06799,0.71875,1.35444,0.72396,0.30169,559,13,50,0.05,0.05
2,pima,AdaBoostClassifier,0.72396,0.06764,0.60417,2.68902,0.34896,0.32942,670,19,50,0.05,0.05
3,pima,BaggingClassifier,0.75521,0.09795,0.75521,1.02438,0.75,0.32034,607,4,50,0.05,0.05
3,pima,RandomForestClassifier,0.75,0.06955,0.75,1.16993,0.73438,0.35762,658,4,50,0.05,0.05
3,pima,AdaBoostClassifier,0.76042,0.07156,0.59896,2.60535,0.73438,0.52655,740,6,50,0.05,0.05
4,pima,BaggingClassifier,0.74479,0.09713,0.74479,1.06519,0.73438,0.289,546,12,50,0.05,0.05
4,pima,RandomForestClassifier,0.75521,0.08007,0.75521,1.21631,0.74479,0.29646,536,9,50,0.05,0.05
4,pima,AdaBoostClassifier,0.77083,0.0688,0.70833,2.56381,0.67708,0.41984,584,5,50,0.05,0.05
5,pima,BaggingClassifier,0.73438,0.09394,0.73438,0.99138,0.73438,0.40093,712,2,50,0.05,0.05
5,pima,RandomForestClassifier,0.76042,0.06646,0.76042,1.15159,0.76042,0.41258,747,0,50,0.05,0.05
5,pima,AdaBoostClassifier,0.68229,0.06999,0.70833,2.48538,0.71875,0.57936,788,2,50,0.05,0.05
6,pima,BaggingClassifier,0.8125,0.09745,0.8125,1.08281,0.8125,0.35195,621,1,50,0.05,0.05
6,pima,RandomForestClassifier,0.77083,0.06999,0.77083,1.20933,0.75521,0.35443,624,4,50,0.05,0.05
6,pima,AdaBoostClassifier,0.78646,0.0699,0.71875,2.60711,0.70833,0.51733,792,8,50,0.05,0.05
7,pima,BaggingClassifier,0.77083,0.09995,0.77083,0.93933,0.77083,0.42437,762,0,50,0.05,0.05
7,pima,RandomForestClassifier,0.74479,0.07744,0.74479,1.19613,0.74479,0.43745,761,0,50,0.05,0.05
7,pima,AdaBoostClassifier,0.73958,0.06739,0.67708,2.50511,0.71354,0.64115,890,2,50,0.05,0.05
8,pima,BaggingClassifier,0.80729,0.09845,0.80729,1.17919,0.80729,0.47615,753,1,50,0.05,0.05
8,pima,RandomForestClassifier,0.78125,0.07,0.78125,1.22242,0.78646,0.46529,776,1,50,0.05,0.05
8,pima,AdaBoostClassifier,0.77604,0.06849,0.63021,2.62284,0.65104,0.37466,871,1,50,0.05,0.05
9,pima,BaggingClassifier,0.74479,0.10084,0.74479,1.02113,0.75,0.21607,465,8,50,0.05,0.05
9,pima,RandomForestClassifier,0.74479,0.06067,0.74479,1.09521,0.75521,0.24477,436,10,50,0.05,0.05
9,pima,AdaBoostClassifier,0.67708,0.07336,0.70312,2.35946,0.54167,0.29557,489,15,50,0.05,0.05
10,pima,BaggingClassifier,0.72917,0.09583,0.72917,0.91489,0.72396,0.26784,510,1,50,0.05,0.05
10,pima,RandomForestClassifier,0.72396,0.06353,0.72396,1.08998,0.72396,0.29452,516,0,50,0.05,0.05
10,pima,AdaBoostClassifier,0.69271,0.06817,0.68229,2.3843,0.70833,0.41428,632,2,50,0.05,0.05
1,pima,BaggingClassifier,0.71354,0.10344,0.71354,1.01021,0.71354,0.38414,684,0,50,0.05,0.1
1,pima,RandomForestClassifier,0.73438,0.07018,0.73438,1.2506,0.73438,0.41209,717,0,50,0.05,0.1
1,pima,AdaBoostClassifier,0.78125,0.06772,0.69792,2.79624,0.69792,0.50115,823,0,50,0.05,0.1
2,pima,BaggingClassifier,0.74479,0.10194,0.74479,1.16571,0.74479,0.32703,581,3,50,0.05,0.1
2,pima,RandomForestClassifier,0.71875,0.06546,0.71875,1.25873,0.71354,0.30358,559,4,50,0.05,0.1
2,pima,AdaBoostClassifier,0.72396,0.06937,0.60417,2.85897,0.58333,0.37248,670,2,50,0.05,0.1
3,pima,BaggingClassifier,0.75521,0.09841,0.75521,0.99929,0.75521,0.33042,607,0,50,0.05,0.1
3,pima,RandomForestClassifier,0.75,0.06911,0.75,1.12701,0.75,0.36315,658,0,50,0.05,0.1
3,pima,AdaBoostClassifier,0.76042,0.07552,0.59896,2.72758,0.60417,0.57051,740,1,50,0.05,0.1
4,pima,BaggingClassifier,0.74479,0.10542,0.74479,1.01598,0.73958,0.31246,546,8,50,0.05,0.1
4,pima,RandomForestClassifier,0.75521,0.06605,0.75521,1.10859,0.75521,0.30063,536,4,50,0.05,0.1
4,pima,AdaBoostClassifier,0.77083,0.0693,0.70833,2.78041,0.71354,0.41618,584,1,50,0.05,0.1
5,pima,BaggingClassifier,0.73438,0.10041,0.73438,0.9509,0.73438,0.40357,712,0,50,0.05,0.1
5,pima,RandomForestClassifier,0.76042,0.06784,0.76042,1.0778,0.76042,0.4354,747,0,50,0.05,0.1
5,pima,AdaBoostClassifier,0.68229,0.06664,0.70833,2.70831,0.70833,0.59027,788,0,50,0.05,0.1
6,pima,BaggingClassifier,0.8125,0.10125,0.8125,1.02099,0.8125,0.36144,621,0,50,0.05,0.1
6,pima,RandomForestClassifier,0.77083,0.07404,0.77083,1.13378,0.77083,0.36503,624,0,50,0.05,0.1
6,pima,AdaBoostClassifier,0.78646,0.06563,0.71875,2.70346,0.61979,0.59477,792,1,50,0.05,0.1
7,pima,BaggingClassifier,0.77083,0.10125,0.77083,0.92979,0.77083,0.4277,762,0,50,0.05,0.1
7,pima,RandomForestClassifier,0.74479,0.06684,0.74479,1.13438,0.74479,0.43404,761,0,50,0.05,0.1
7,pima,AdaBoostClassifier,0.73958,0.06812,0.67708,2.65488,0.67708,0.63991,890,0,50,0.05,0.1
8,pima,BaggingClassifier,0.80729,0.10439,0.80729,1.09395,0.80729,0.46374,753,0,50,0.05,0.1
8,pima,RandomForestClassifier,0.78125,0.06909,0.78125,1.22434,0.78125,0.46302,776,0,50,0.05,0.1
8,pima,AdaBoostClassifier,0.77604,0.069,0.63021,2.8315,0.63021,0.4016,871,0,50,0.05,0.1
9,pima,BaggingClassifier,0.74479,0.1059,0.74479,0.98362,0.74479,0.23276,465,6,50,0.05,0.1
9,pima,RandomForestClassifier,0.74479,0.06375,0.74479,1.03367,0.77083,0.21433,436,8,50,0.05,0.1
9,pima,AdaBoostClassifier,0.67708,0.07149,0.70312,2.36891,0.61979,0.35553,489,12,50,0.05,0.1
10,pima,BaggingClassifier,0.72917,0.10125,0.72917,0.92222,0.72396,0.27447,510,1,50,0.05,0.1
10,pima,RandomForestClassifier,0.72396,0.06546,0.72396,1.05002,0.72396,0.28011,516,0,50,0.05,0.1
10,pima,AdaBoostClassifier,0.69271,0.06908,0.68229,2.42089,0.70833,0.53181,632,2,50,0.05,0.1
1,pima,BaggingClassifier,0.71354,0.11205,0.71354,1.04908,0.71354,0.37587,684,1,50,0.1,0.01
1,pima,RandomForestClassifier,0.73438,0.08311,0.73438,1.17584,0.73438,0.40291,717,0,50,0.1,0.01
1,pima,AdaBoostClassifier,0.78125,0.06753,0.69792,2.5589,0.69792,0.55099,823,0,50,0.1,0.01
2,pima,BaggingClassifier,0.74479,0.10304,0.74479,1.18544,0.71354,0.36473,581,3,50,0.1,0.01
2,pima,RandomForestClassifier,0.71875,0.06303,0.71875,1.21038,0.72396,0.27108,559,4,50,0.1,0.01
2,pima,AdaBoostClassifier,0.72396,0.06553,0.60417,2.69542,0.64062,0.35361,670,5,50,0.1,0.01
3,pima,BaggingClassifier,0.75521,0.09901,0.75521,1.04713,0.75521,0.31467,607,0,50,0.1,0.01
3,pima,RandomForestClassifier,0.75,0.11259,0.75,1.07971,0.75,0.34448,658,0,50,0.1,0.01
3,pima,AdaBoostClassifier,0.76042,0.06441,0.59896,2.57149,0.59896,0.53928,740,0,50,0.1,0.01
4,pima,BaggingClassifier,0.74479,0.11005,0.74479,1.06081,0.74479,0.27628,546,1,50,0.1,0.01
4,pima,RandomForestClassifier,0.75521,0.11554,0.75521,1.09242,0.75521,0.2679,536,0,50,0.1,0.01
4,pima,AdaBoostClassifier,0.77083,0.07191,0.70833,2.59317,0.70833,0.39227,584,0,50,0.1,0.01
5,pima,BaggingClassifier,0.73438,0.10704,0.73438,0.97799,0.73438,0.37729,712,0,50,0.1,0.01
